Ecosystem,Survey Type,Survey Name,Entity Name,Stock,Stock Region,Assessment Year,Assessment Month,Degree of Influence
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Fall,Goosefish - Southern Georges Bank / Mid-Atlantic,Goosefish , Southern Georges Bank / Mid-Atlantic,2022,9,Primary
California Current,Recreational CPUE,Recreational CPUE,Gopher rockfish - Northern California,Gopher rockfish , Northern California,2005,12,Primary
California Current,Commercial CPUE,Commercial CPUE,Gopher rockfish - Southern Pacific Coast,Gopher rockfish , Southern Pacific Coast,2010,9,Primary
California Current,Recreational CPUE,Recreational CPUE,Gopher rockfish - Southern Pacific Coast,Gopher rockfish , Southern Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Grass rockfish - Pacific Coast,Grass rockfish , Pacific Coast,2010,9,Primary
California Current,Recreational CPUE,Recreational CPUE,Grass rockfish - Pacific Coast,Grass rockfish , Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Grass rockfish - Pacific Coast,Grass rockfish , Pacific Coast,2010,9,Secondary
Gulf of Mexico,FINSS Survey,Reef Fish Visual Census Survey - U.S. Caribbean,Gray snapper - Gulf of Mexico,Gray snapper , Gulf of Mexico,2018,5,Primary
Gulf of Mexico,FINSS Survey,SEAMAP-GOM Shrimp/Groundfish Trawl_Summer,Gray snapper - Gulf of Mexico,Gray snapper , Gulf of Mexico,2018,5,Primary
Gulf of Mexico,Other Survey,Florida Fish and Wildlife Conservation Commission Inshore Survey,Gray snapper - Gulf of Mexico,Gray snapper , Gulf of Mexico,2018,5,Primary
Gulf of Mexico,Other Survey,Reef Fish Integrated Visual Survey,Gray snapper - Gulf of Mexico,Gray snapper , Gulf of Mexico,2018,5,Primary
Gulf of Mexico,FINSS Survey,Panama City Laboratory Reef Fish Trap/Video,Gray snapper - Gulf of Mexico,Gray snapper , Gulf of Mexico,2018,5,Secondary
Gulf of Mexico,FINSS Survey,SEAMAP Reef Fish Camera/Trap,Gray snapper - Gulf of Mexico,Gray snapper , Gulf of Mexico,2018,5,Secondary
Gulf of Mexico,Commercial CPUE,Commercial CPUE,Gray triggerfish - Gulf of Mexico,Gray triggerfish , Gulf of Mexico,2020,10,Primary
Gulf of Mexico,FINSS Survey,Panama City Laboratory Reef Fish Trap/Video,Gray triggerfish - Gulf of Mexico,Gray triggerfish , Gulf of Mexico,2020,10,Primary
Gulf of Mexico,FINSS Survey,SEAMAP-GOM Shrimp/Groundfish Trawl_Fall,Gray triggerfish - Gulf of Mexico,Gray triggerfish , Gulf of Mexico,2020,10,Primary
Gulf of Mexico,FINSS Survey,SEAMAP-GOM Shrimp/Groundfish Trawl_Spring,Gray triggerfish - Gulf of Mexico,Gray triggerfish , Gulf of Mexico,2020,10,Primary
Gulf of Mexico,FINSS Survey,SEAMAP-GOM Shrimp/Groundfish Trawl_Summer,Gray triggerfish - Gulf of Mexico,Gray triggerfish , Gulf of Mexico,2020,10,Primary
Gulf of Mexico,Recreational CPUE,Recreational CPUE,Gray triggerfish - Gulf of Mexico,Gray triggerfish , Gulf of Mexico,2020,10,Primary
Gulf of Mexico,Commercial CPUE,Commercial CPUE,Greater amberjack - Gulf of Mexico,Greater amberjack , Gulf of Mexico,2021,1,Primary
Gulf of Mexico,FINSS Survey,Panama City Laboratory Reef Fish Trap/Video,Greater amberjack - Gulf of Mexico,Greater amberjack , Gulf of Mexico,2021,1,Primary
Gulf of Mexico,FINSS Survey,SEAMAP Reef Fish Camera/Trap,Greater amberjack - Gulf of Mexico,Greater amberjack , Gulf of Mexico,2021,1,Primary
Gulf of Mexico,Other Survey,Fishery Independent Survey - Florida Fish & Wildlife Research Institute Video Survey (Part of three-survey abundance index),Greater amberjack - Gulf of Mexico,Greater amberjack , Gulf of Mexico,2021,1,Primary
Gulf of Mexico,Recreational CPUE,Recreational CPUE,Greater amberjack - Gulf of Mexico,Greater amberjack , Gulf of Mexico,2021,1,Primary
Southeast Shelf,Commercial CPUE,Commercial CPUE,Greater amberjack - Southern Atlantic Coast,Greater amberjack , Southern Atlantic Coast,2020,6,Primary
Southeast Shelf,FINSS Survey,Southeast Fishery-Independent Survey (SEFIS),Greater amberjack - Southern Atlantic Coast,Greater amberjack , Southern Atlantic Coast,2020,6,Primary
Southeast Shelf,Recreational CPUE,Recreational CPUE,Greater amberjack - Southern Atlantic Coast,Greater amberjack , Southern Atlantic Coast,2020,6,Primary
Pacific Islands Ecosystem Complex,Commercial CPUE,Commercial CPUE,Green jobfish - Main Hawaiian Islands,Green jobfish , Main Hawaiian Islands,2020,2,Primary
Pacific Islands Ecosystem Complex,FINSS Survey,Coral Reef Ecosystem Research,Green jobfish - Main Hawaiian Islands,Green jobfish , Main Hawaiian Islands,2020,2,Primary
California Current,Commercial CPUE,Commercial CPUE,Greenblotched rockfish - Pacific Coast,Greenblotched rockfish , Pacific Coast,2010,9,Primary
California Current,Recreational CPUE,Recreational CPUE,Greenblotched rockfish - Pacific Coast,Greenblotched rockfish , Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Greenblotched rockfish - Pacific Coast,Greenblotched rockfish , Pacific Coast,2010,9,Secondary
Alaska Ecosystem Complex,FINSS Survey,Eastern Bering Sea Upper Continenal Slope Groundfish Bottom Trawl,Greenland halibut - Bering Sea / Aleutian Islands,Greenland halibut , Bering Sea / Aleutian Islands,2022,12,Primary
Alaska Ecosystem Complex,FINSS Survey,GOA/EBS/AI Longline Survey,Greenland halibut - Bering Sea / Aleutian Islands,Greenland halibut , Bering Sea / Aleutian Islands,2022,12,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Greenspotted rockfish - Pacific Coast,Greenspotted rockfish , Pacific Coast,2011,9,Primary
California Current,FINSS Survey,West Coast Rockfish Hook and Line,Greenspotted rockfish - Pacific Coast,Greenspotted rockfish , Pacific Coast,2011,9,Primary
California Current,Recreational CPUE,Recreational CPUE,Greenspotted rockfish - Pacific Coast,Greenspotted rockfish , Pacific Coast,2011,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Greenstriped rockfish - Pacific Coast,Greenstriped rockfish , Pacific Coast,2009,9,Primary
California Current,Other Survey,"NMFS (Conducted by AFSC for 1977-2001 and NWFSC for 2004) Triennial Shelf Bottom Trawl Survey for Pacific coast groundfish. This survey has been discontinued. This survey has been discontinued. The survey was separated into two indices (early 1980-1992, and late-1995-2004) due to a shift in timing of the survey.",Greenstriped rockfish - Pacific Coast,Greenstriped rockfish , Pacific Coast,2009,9,Primary
Pacific Islands Ecosystem Complex,Commercial CPUE,Commercial CPUE,Guam Bottomfish Multi-species Complex,Guam Bottomfish Multi,species Complex,2019,5,Primary
Pacific Islands Ecosystem Complex,Recreational CPUE,Recreational CPUE,Guam Bottomfish Multi-species Complex,Guam Bottomfish Multi,species Complex,2019,5,Primary
Alaska Ecosystem Complex,FINSS Survey,GOA/EBS/AI Longline Survey,Gulf of Alaska Blackspotted and Rougheye Rockfish Complex,Gulf of Alaska Blackspotted and Rougheye Rockfish Complex, Gulf of Alaska,2022,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Gulf of Alaska Blackspotted and Rougheye Rockfish Complex,Gulf of Alaska Blackspotted and Rougheye Rockfish Complex, Gulf of Alaska,2022,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Gulf of Alaska Other Deepwater Flatfish Complex,Gulf of Alaska Other Deepwater Flatfish Complex, Gulf of Alaska,2016,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Gulf of Alaska Other Rockfish Complex,Gulf of Alaska Other Rockfish Complex, Gulf of Alaska,2021,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Gulf of Alaska Other Shallow Water Flatfish Complex,Gulf of Alaska Other Shallow Water Flatfish Complex, Gulf of Alaska,2021,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Gulf of Alaska Sculpin Complex,Gulf of Alaska Sculpin Complex, Gulf of Alaska,2019,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Gulf of Alaska Shark Complex,Gulf of Alaska Shark Complex, Gulf of Alaska,2020,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Gulf of Alaska Skate Complex,Gulf of Alaska Skate Complex, Gulf of Alaska,2021,12,Primary
Atlantic Highly Migratory,FINSS Survey,SEAMAP-GOM Shrimp/Groundfish Trawl_Fall,Gulf Smoothhound Complex,Gulf Smoothhound Complex, Gulf of Mexico,2015,3,Primary
Atlantic Highly Migratory,FINSS Survey,SEAMAP-GOM Shrimp/Groundfish Trawl_Summer,Gulf Smoothhound Complex,Gulf Smoothhound Complex, Gulf of Mexico,2015,3,Primary
Atlantic Highly Migratory,FINSS Survey,Small Pelagics Survey_Fall,Gulf Smoothhound Complex,Gulf Smoothhound Complex, Gulf of Mexico,2015,3,Primary
Atlantic Highly Migratory,Other Survey,"NMFS SE Bottom Longline fishery-independent SEDAR 39: Stock Assessment Report HMS Gulf of Mexico Smoothhound Sharks. March, 2015. SEDAR, 4055 Faber Place Drive, Suite 201, North Charleston, SC 29405. Available at http://sedarweb.org/docs/sar/S39_Gulf_Smoothhound_Complex_SAR.pdf""",Gulf Smoothhound Complex,Gulf Smoothhound Complex,Gulf of Mexico,2015,3,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Fall,Haddock - Eastern Georges Bank | Asmt,Haddock , Eastern Georges Bank,2022,7,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Spring,Haddock - Eastern Georges Bank | Asmt,Haddock , Eastern Georges Bank | Asmt,2022,7,Primary
Northeast Shelf,Other Survey,Canadian Survey Data,Haddock - Eastern Georges Bank | Asmt,Haddock , Eastern Georges Bank | Asmt,2022,7,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Fall,Haddock - Georges Bank,Haddock , Georges Bank,2022,9,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Spring,Haddock - Georges Bank,Haddock , Georges Bank,2022,9,Primary
Northeast Shelf,Other Survey,DFO Canada bottom trawl,Haddock - Georges Bank,Haddock , Georges Bank,2022,9,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Fall,Haddock - Gulf of Maine,Haddock , Gulf of Maine,2022,9,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Spring,Haddock - Gulf of Maine,Haddock , Gulf of Maine,2022,9,Primary
Gulf of Mexico,Commercial CPUE,Commercial CPUE,Hogfish - Eastern Gulf of Mexico | Asmt & Status,Hogfish , Eastern Gulf of Mexico | Asmt & Status,2018,5,Primary
Gulf of Mexico,FINSS Survey,Panama City Laboratory Reef Fish Trap/Video,Hogfish - Eastern Gulf of Mexico | Asmt & Status,Hogfish , Eastern Gulf of Mexico | Asmt & Status,2018,5,Primary
Gulf of Mexico,Other Survey,FWC-FWRI Baitfish Survey,Hogfish - Eastern Gulf of Mexico | Asmt & Status,Hogfish , Eastern Gulf of Mexico | Asmt & Status,2018,5,Primary
Gulf of Mexico,Other Survey,FWC-FWRI Juvenile Seagrass Survey,Hogfish - Eastern Gulf of Mexico | Asmt & Status,Hogfish , Eastern Gulf of Mexico | Asmt & Status,2018,5,Primary
Gulf of Mexico,Recreational CPUE,Recreational CPUE,Hogfish - Eastern Gulf of Mexico | Asmt & Status,Hogfish , Eastern Gulf of Mexico | Asmt & Status,2018,5,Primary
Gulf of Mexico,FINSS Survey,SEAMAP South Atlantic Coastal Trawl_Summer (SCDNR),Hogfish - Eastern Gulf of Mexico | Asmt & Status,Hogfish , Eastern Gulf of Mexico | Asmt & Status,2018,5,Secondary
Southeast Shelf,Commercial CPUE,Commercial CPUE,Hogfish - Southeast Florida | Asmt & Status,Hogfish , Southeast Florida | Asmt & Status,2014,10,Primary
Southeast Shelf,FINSS Survey,Panama City Laboratory Reef Fish Trap/Video,Hogfish - Southeast Florida | Asmt & Status,Hogfish , Southeast Florida | Asmt & Status,2014,10,Primary
Southeast Shelf,Recreational CPUE,Recreational CPUE,Hogfish - Southeast Florida | Asmt & Status,Hogfish , Southeast Florida | Asmt & Status,2014,10,Primary
Southeast Shelf,FINSS Survey,Epifaunal (small fish and macro-invertebrates) Sampling,Hogfish - Southeast Florida | Asmt & Status,Hogfish , Southeast Florida | Asmt & Status,2014,10,Secondary
Southeast Shelf,FINSS Survey,Florida Keys/Southeast Reef Fish Visual Census (RVC),Hogfish - Southeast Florida | Asmt & Status,Hogfish , Southeast Florida | Asmt & Status,2014,10,Secondary
Southeast Shelf,FINSS Survey,SEAMAP-GOM Shrimp/Groundfish Trawl_Summer (FFWCC),Hogfish - Southeast Florida | Asmt & Status,Hogfish , Southeast Florida | Asmt & Status,2014,10,Secondary
California Current,Commercial CPUE,Commercial CPUE,Honeycomb rockfish - Pacific Coast,Honeycomb rockfish , Pacific Coast,2010,9,Primary
California Current,Recreational CPUE,Recreational CPUE,Honeycomb rockfish - Pacific Coast,Honeycomb rockfish , Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Honeycomb rockfish - Pacific Coast,Honeycomb rockfish , Pacific Coast,2010,9,Secondary
Pacific Islands Ecosystem Complex,Commercial CPUE,Commercial CPUE,Humpback red snapper - Guam | Asmt,Humpback red snapper , Guam | Asmt,2019,5,Primary
Pacific Islands Ecosystem Complex,FINSS Survey,Coral Reef Ecosystem Research,Humpback red snapper - Guam | Asmt,Humpback red snapper , Guam | Asmt,2019,5,Secondary
Pacific Islands Ecosystem Complex,Commercial CPUE,Commercial CPUE,Island jack - Guam | Asmt,Island jack , Guam | Asmt,2019,5,Primary
Pacific Islands Ecosystem Complex,Commercial CPUE,Commercial CPUE,Island jack - Main Hawaiian Islands,Island jack , Main Hawaiian Islands,2017,2,Primary
Pacific Islands Ecosystem Complex,FINSS Survey,Coral Reef Ecosystem Research,Island jack - Main Hawaiian Islands,Island jack , Main Hawaiian Islands,2017,2,Primary
Pacific Islands Ecosystem Complex,Recreational CPUE,Recreational CPUE,Island jack - Main Hawaiian Islands,Island jack , Main Hawaiian Islands,2017,2,Primary
Alaska Ecosystem Complex,FINSS Survey,Aleutian Island Groundfish Bottom Trawl,Kamchatka flounder - Bering Sea / Aleutian Islands,Kamchatka flounder , Bering Sea / Aleutian Islands,2022,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Eastern Bering Sea Groundfish Bottom Trawl,Kamchatka flounder - Bering Sea / Aleutian Islands,Kamchatka flounder , Bering Sea / Aleutian Islands,2022,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Eastern Bering Sea Upper Continenal Slope Groundfish Bottom Trawl,Kamchatka flounder - Bering Sea / Aleutian Islands,Kamchatka flounder , Bering Sea / Aleutian Islands,2022,12,Primary
California Current,Commercial CPUE,Commercial CPUE,Kelp greenling - California,Kelp greenling , California,2010,9,Primary
California Current,Recreational CPUE,Recreational CPUE,Kelp greenling - California,Kelp greenling , California,2010,9,Primary
California Current,Recreational CPUE,Recreational CPUE,Kelp greenling - Oregon,Kelp greenling , Oregon,2015,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Kelp rockfish - Pacific Coast,Kelp rockfish , Pacific Coast,2010,9,Primary
California Current,Recreational CPUE,Recreational CPUE,Kelp rockfish - Pacific Coast,Kelp rockfish , Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Kelp rockfish - Pacific Coast,Kelp rockfish , Pacific Coast,2010,9,Secondary
Gulf of Mexico,Commercial CPUE,Commercial CPUE,King mackerel - Gulf of Mexico,King mackerel , Gulf of Mexico,2020,9,Primary
Gulf of Mexico,FINSS Survey,SEAMAP-GOM Plankton (GCRL),King mackerel - Gulf of Mexico,King mackerel , Gulf of Mexico,2020,9,Primary
Gulf of Mexico,FINSS Survey,SEAMAP-GOM Shrimp/Groundfish Trawl_Fall,King mackerel - Gulf of Mexico,King mackerel , Gulf of Mexico,2020,9,Primary
Gulf of Mexico,Recreational CPUE,Recreational CPUE,King mackerel - Gulf of Mexico,King mackerel , Gulf of Mexico,2020,9,Primary
Southeast Shelf,Commercial CPUE,Commercial CPUE,King mackerel - Southern Atlantic Coast,King mackerel , Southern Atlantic Coast,2020,4,Primary
Southeast Shelf,FINSS Survey,SEAMAP South Atlantic Coastal Trawl_Fall (SCDNR),King mackerel - Southern Atlantic Coast,King mackerel , Southern Atlantic Coast,2020,4,Primary
Southeast Shelf,FINSS Survey,SEAMAP South Atlantic Trawl_Summer,King mackerel - Southern Atlantic Coast,King mackerel , Southern Atlantic Coast,2020,4,Primary
Southeast Shelf,FINSS Survey,SEAMAP South Atlantic Trawl_Winter,King mackerel - Southern Atlantic Coast,King mackerel , Southern Atlantic Coast,2020,4,Primary
Southeast Shelf,FINSS Survey,SEAMAP-GOM Plankton (ADCNR),King mackerel - Southern Atlantic Coast,King mackerel , Southern Atlantic Coast,2020,4,Primary
Southeast Shelf,Recreational CPUE,Recreational CPUE,King mackerel - Southern Atlantic Coast,King mackerel , Southern Atlantic Coast,2020,4,Primary
Gulf of Mexico,Commercial CPUE,Commercial CPUE,Lane snapper - Gulf of Mexico,Lane snapper , Gulf of Mexico,2020,3,Primary
Gulf of Mexico,Recreational CPUE,Recreational CPUE,Lane snapper - Gulf of Mexico,Lane snapper , Gulf of Mexico,2020,3,Primary
California Current,Commercial CPUE,Commercial CPUE,Leopard shark - Pacific Coast,Leopard shark , Pacific Coast,2010,9,Primary
California Current,Recreational CPUE,Recreational CPUE,Leopard shark - Pacific Coast,Leopard shark , Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Lingcod - Northern Pacific Coast,Lingcod , Northern Pacific Coast,2021,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Lingcod - Northern Pacific Coast,Lingcod , Northern Pacific Coast,2021,9,Primary
California Current,Other Method,"Lam Research - In collaboration with the NWFSC and Moss Landing Marine Labs, lingcod in nearshore and offshore rocky reef habitats were collected between January 2016 and January 2017 via hook and line on chartered CPFVs. These composition data are used as CAAL, and therefore are not expanded.",Lingcod - Northern Pacific Coast,Lingcod , Northern Pacific Coast,2021,9,Primary
California Current,Other Survey,NMFS (Conducted by AFSC for 1977-2001 and NWFSC for 2004) Triennial Shelf Bottom Trawl Survey for Pacific coast groundfish. This survey has been discontinued. Separate indices for early (1980-1992) and late (1995-2004) time series.,Lingcod - Northern Pacific Coast,Lingcod , Northern Pacific Coast,2021,9,Primary
California Current,Recreational CPUE,Recreational CPUE,Lingcod - Northern Pacific Coast,Lingcod , Northern Pacific Coast,2021,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Lingcod - Pacific Coast,Lingcod , Pacific Coast,2009,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Lingcod - Pacific Coast,Lingcod , Pacific Coast,2009,9,Primary
California Current,Other Survey,NMFS (Conducted by AFSC for 1977-2001 and NWFSC for 2004) Triennial Shelf Bottom Trawl Survey for Pacific coast groundfish. This survey has been discontinued. Separate indices for WA/OR and California.,Lingcod - Pacific Coast,Lingcod , Pacific Coast,2009,9,Primary
California Current,Recreational CPUE,Recreational CPUE,Lingcod - Pacific Coast,Lingcod , Pacific Coast,2009,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Lingcod - Southern Pacific Coast,Lingcod , Southern Pacific Coast,2021,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Lingcod - Southern Pacific Coast,Lingcod , Southern Pacific Coast,2021,9,Primary
California Current,FINSS Survey,West Coast Rockfish Hook and Line,Lingcod - Southern Pacific Coast,Lingcod , Southern Pacific Coast,2021,9,Primary
California Current,Other Method,"Lam Research - In collaboration with the NWFSC and Moss Landing Marine Labs, lingcod in nearshore and offshore rocky reef habitats were collected between January 2016 and January 2017 via hook and line on chartered CPFVs. These composition data are used as CAAL, and therefore are not expanded.",Lingcod - Southern Pacific Coast,Lingcod , Southern Pacific Coast,2021,9,Primary
California Current,Other Survey,NMFS (Conducted by AFSC for 1977-2001 and NWFSC for 2004) Triennial Shelf Bottom Trawl Survey for Pacific coast groundfish. This survey has been discontinued. Separate indices for early (1980-1992) and late (1995-2004) time series.,Lingcod - Southern Pacific Coast,Lingcod , Southern Pacific Coast,2021,9,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Spring,Little skate - Georges Bank / Southern New England | Asmt & Status,Little skate , Georges Bank / Southern New England | Asmt & Status,2022,8,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Fall,Longfin inshore squid - Georges Bank / Cape Hatteras | Asmt & Status,Longfin inshore squid , Georges Bank / Cape Hatteras | Asmt & Status,2020,6,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Spring,Longfin inshore squid - Georges Bank / Cape Hatteras | Asmt & Status,Longfin inshore squid , Georges Bank / Cape Hatteras | Asmt & Status,2020,6,Primary
Northeast Shelf,FINSS Survey,Northeast Area Monitoring and Assessment Program (NEAMAP)_Spring (MDMR/VIMS),Longfin inshore squid - Georges Bank / Cape Hatteras | Asmt & Status,Longfin inshore squid , Georges Bank / Cape Hatteras | Asmt & Status,2020,6,Primary
Pacific Islands Ecosystem Complex,Commercial CPUE,Commercial CPUE,Longnose emperor - Guam | Asmt,Longnose emperor , Guam | Asmt,2019,5,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Longnose skate - Gulf of Alaska,Longnose skate , Gulf of Alaska,2021,12,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Longnose skate - Pacific Coast,Longnose skate , Pacific Coast,2019,9,Primary
California Current,Other Survey,NMFS (Conducted by AFSC for 1977-2001 and NWFSC for 2004) Triennial Shelf Bottom Trawl Survey for Pacific coast groundfish. This survey has been discontinued.,Longnose skate - Pacific Coast,Longnose skate , Pacific Coast,2019,9,Primary
California Current,Other Survey,"AFSC Slope Survey of West Coast - In this assessment, only data from 1997, 1999, 2000 and 2001 were used ? these years were consistent in latitudinal range (from 34o30? N. latitude to the U.S.-Canada border) and depth coverage (183-1280 m; 100-700 fm).",Longnose skate - Pacific Coast,Longnose skate , Pacific Coast,2019,9,Primary
California Current,Other Survey,International Pacific Halibut Commission Longline Survey,Longnose skate - Pacific Coast,Longnose skate , Pacific Coast,2019,9,Primary
California Current,Other Survey,NWFSC Slope Survey of West Coast (conducted annually from 1999 to 2002).,Longnose skate - Pacific Coast,Longnose skate , Pacific Coast,2019,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Longspine thornyhead - Pacific Coast,Longspine thornyhead , Pacific Coast,2019,9,Primary
California Current,Other Survey,AFSC - Slope Bottom Trawl Survey for Pacific coast groundfish (1996-2001). This survey has been discontinued.,Longspine thornyhead - Pacific Coast,Longspine thornyhead , Pacific Coast,2019,9,Primary
California Current,Other Survey,"NWFSC - Slope Bottom Trawl Survey for Pacific coast groundfish (1999-2002). This survey has been expanded to the ""NWFSC Shelf/Slope Bottom Trawl Survey for Pacific coast groundfish (2003-current) but slope depths covered in this survey are treated as a separate index.",Longspine thornyhead - Pacific Coast,Longspine thornyhead , Pacific Coast,2019,9,Primary
Pacific Islands Ecosystem Complex,Commercial CPUE,Commercial CPUE,Main Hawaiian Islands Deep 7 Bottomfish Multi-species Complex,Main Hawaiian Islands Deep 7 Bottomfish Multi-species Complex, Main Hawaiian Islands,2021,3,Primary
Pacific Islands Ecosystem Complex,FINSS Survey,Main Hawaiian Island (MHI) Insular Bottomfish Survey (Cooperative Research),Main Hawaiian Islands Deep 7 Bottomfish Multi-species Complex,Main Hawaiian Islands Deep 7 Bottomfish Multi,species Complex,2021,3,Primary
California Current,Commercial CPUE,Commercial CPUE,Mexican rockfish - Pacific Coast,Mexican rockfish , Pacific Coast,2010,9,Primary
California Current,Recreational CPUE,Recreational CPUE,Mexican rockfish - Pacific Coast,Mexican rockfish , Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Mexican rockfish - Pacific Coast,Mexican rockfish , Pacific Coast,2010,9,Secondary
Southeast Shelf / Gulf of Mexico,Commercial CPUE,Commercial CPUE,Mutton snapper - Southern Atlantic Coast / Gulf of Mexico | Asmt & Status,Mutton snapper , Southern Atlantic Coast / Gulf of Mexico | Asmt & Status,2015,2,Primary
Southeast Shelf / Gulf of Mexico,FINSS Survey,Acoustical Environment of Three Stations at Riley's Hump,Mutton snapper - Southern Atlantic Coast / Gulf of Mexico | Asmt & Status,Mutton snapper , Southern Atlantic Coast / Gulf of Mexico | Asmt & Status,2015,2,Primary
Southeast Shelf / Gulf of Mexico,FINSS Survey,Florida Keys/Southeast Reef Fish Visual Census (RVC),Mutton snapper - Southern Atlantic Coast / Gulf of Mexico | Asmt & Status,Mutton snapper , Southern Atlantic Coast / Gulf of Mexico | Asmt & Status,2015,2,Primary
Southeast Shelf / Gulf of Mexico,Other Survey,FWC FIM Age 1,Mutton snapper - Southern Atlantic Coast / Gulf of Mexico | Asmt & Status,Mutton snapper , Southern Atlantic Coast / Gulf of Mexico | Asmt & Status,2015,2,Primary
Southeast Shelf / Gulf of Mexico,Recreational CPUE,Recreational CPUE,Mutton snapper - Southern Atlantic Coast / Gulf of Mexico | Asmt & Status,Mutton snapper , Southern Atlantic Coast / Gulf of Mexico | Asmt & Status,2015,2,Primary
Pacific Islands Ecosystem Complex,Commercial CPUE,Commercial CPUE,Naso tang - Main Hawaiian Islands,Naso tang , Main Hawaiian Islands,2017,2,Primary
Pacific Islands Ecosystem Complex,FINSS Survey,Coral Reef Ecosystem Research,Naso tang - Main Hawaiian Islands,Naso tang , Main Hawaiian Islands,2017,2,Primary
Pacific Islands Ecosystem Complex,Recreational CPUE,Recreational CPUE,Naso tang - Main Hawaiian Islands,Naso tang , Main Hawaiian Islands,2017,2,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Groundfish Bottom Trawl Survey,North Pacific spiny dogfish - Gulf of Alaska,North Pacific spiny dogfish , Gulf of Alaska,2022,12,Primary
California Current,FINSS Survey,California Current Ecosystem Survey (CCES),Northern anchovy - Southern Pacific Coast,Northern anchovy , Southern Pacific Coast,2022,6,Primary
California Current,Other Survey,CCFRP Hook-and-Line Survey,Northern California Gopher / Black-and-Yellow Rockfish Complex,Northern California Gopher / Black-and-Yellow Rockfish Complex,Northern California,2019,9,Primary
California Current,Other Survey,PISCO Dive Survey 15+ cm fish,Northern California Gopher / Black-and-Yellow Rockfish Complex,Northern California Gopher / Black-and-Yellow Rockfish Complex,Northern California,2019,9,Primary
California Current,Other Survey,PISCO Dive Survey age=0 fish,Northern California Gopher / Black-and-Yellow Rockfish Complex,Northern California Gopher / Black-and-Yellow Rockfish Complex,Northern California,2019,9,Primary
California Current,Recreational CPUE,Recreational CPUE,Northern California Gopher / Black-and-Yellow Rockfish Complex,Northern California Gopher / Black-and-Yellow Rockfish Complex,Northern California,2019,9,Primary
Pacific Islands Ecosystem Complex,Commercial CPUE,Commercial CPUE,Northern Mariana Islands Bottomfish Multi-species Complex,Northern Mariana Islands Bottomfish Multi,species Complex,2019,8,Primary
Pacific Islands Ecosystem Complex,Recreational CPUE,Recreational CPUE,Northern Mariana Islands Bottomfish Multi-species Complex,Northern Mariana Islands Bottomfish Multi,species Complex,2019,8,Primary
